

[Sentence 0]
0	Dear	dear	ADJ	JJ	amod	Parents	1	None	jj_attributive	None	None	None	None	None	None	None
1	Parents	parent	NOUN	NNS	npadvmod	
	3	nn_all	None	None	None	None	None	None	nn_animate	None
2	,	,	PUNCT	,	punct	Parents	1	None	None	None	None	None	None	None	None	None
3	
	
	SPACE	_SP	dep	give	6	None	None	None	None	None	None	None	None	None
4	We	we	PRON	PRP	nsubj	give	6	pp_all	pp1	None	None	None	None	None	None	None
5	will	will	AUX	MD	aux	give	6	None	None	None	None	None	None	None	None	None
6	give	give	VERB	VB	ROOT	give	6	verb	non_past_tense	None	None	None	None	None	activity_verb	None
7	some	some	DET	DT	det	code	10	None	None	None	None	None	None	None	None	None
8	new	new	ADJ	JJ	amod	code	10	None	jj_attributive	None	None	None	None	None	None	None
9	dress	dress	NOUN	NN	compound	code	10	nn_all	None	None	None	None	None	None	None	None
10	code	code	NOUN	NN	dobj	give	6	nn_all	None	None	None	None	None	None	nn_abstract	None
11	to	to	ADP	IN	dative	give	6	None	None	None	None	None	None	None	None	None
12	your	your	PRON	PRP$	poss	children	13	pp_all	pp2	None	None	None	None	None	None	None
13	children	child	NOUN	NNS	pobj	to	11	nn_all	None	None	None	None	None	None	nn_animate	None
14	.	.	PUNCT	.	punct	give	6	None	None	None	None	None	None	None	None	None

[Sentence 1]
15	It	it	PRON	PRP	nsubj	wearing	18	pp_all	pp3_it	None	None	None	None	None	None	None
16	is	be	AUX	VBZ	aux	wearing	18	None	None	None	None	None	None	None	None	None
17	not	not	PART	RB	neg	wearing	18	None	None	None	None	None	None	None	None	None
18	wearing	wear	VERB	VBG	ROOT	wearing	18	verb	None	None	None	None	None	None	activity_verb	None
19	short	short	ADJ	JJ	amod	skirts	20	None	jj_attributive	None	None	None	None	None	None	None
20	skirts	skirt	NOUN	NNS	dobj	wearing	18	nn_all	None	None	None	None	None	None	None	None
21	because	because	SCONJ	IN	mark	discomforts	23	None	None	None	adverbial_subordinator_causitive	None	None	None	None	None
22	it	it	PRON	PRP	nsubj	discomforts	23	pp_all	pp3_it	None	None	None	None	None	None	None
23	discomforts	discomfort	VERB	VBZ	advcl	wearing	18	verb	non_past_tense	None	None	None	None	None	None	None
24	when	when	SCONJ	WRB	advmod	live	27	None	None	None	None	None	None	None	None	None
25	your	your	PRON	PRP$	poss	children	26	pp_all	pp2	None	None	None	None	None	None	None
