

[Sentence 0]
0	My	my	PRON	PRP$	poss	name	2	pp_all	pp1	None	None	None	None	None	None	None
1	family	family	NOUN	NN	compound	name	2	nn_all	None	None	None	None	None	None	nn_animate	None
2	name	name	NOUN	NN	nsubj	is	3	nn_all	None	None	None	None	None	None	nn_abstract	None
3	is	be	AUX	VBZ	ROOT	is	3	None	None	be_mv	None	None	None	None	None	None
4	Bin	bin	PROPN	NNP	compound	Rashod	5	nn_all	None	None	None	None	None	None	None	None
5	Rashod	rashod	PROPN	NNP	attr	is	3	nn_all	None	None	None	None	None	None	None	None
6	.	.	PUNCT	.	punct	is	3	None	None	None	None	None	None	None	None	None

[Sentence 1]
7	It	it	PRON	PRP	nsubj	's	8	pp_all	pp3_it	None	None	None	None	None	None	None
8	's	be	AUX	VBZ	ROOT	's	8	None	None	be_mv	None	contraction	None	None	None	None
9	a	a	DET	DT	det	family	11	None	None	None	None	None	None	None	None	None
10	big	big	ADJ	JJ	amod	family	11	None	jj_attributive	None	None	None	None	None	None	None
11	family	family	NOUN	NN	attr	's	8	nn_all	None	None	None	None	None	None	nn_animate	None
12	.	.	PUNCT	.	punct	's	8	None	None	None	None	None	None	None	None	None

[Sentence 2]
13	They	they	PRON	PRP	nsubj	lives	14	pp_all	pp3	None	None	None	None	None	None	None
14	lives	live	VERB	VBZ	ROOT	lives	14	verb	non_past_tense	None	None	None	None	None	existence_verb	None
15	in	in	ADP	IN	prep	lives	14	prep_phrase	None	None	None	None	None	None	None	None
16	united	united	ADJ	JJ	amod	Emirate	18	None	jj_attributive	None	None	None	None	None	None	None
17	Arab	arab	ADJ	JJ	amod	Emirate	18	None	jj_attributive	None	None	None	None	None	None	None
18	Emirate	emirate	PROPN	NNP	pobj	in	15	nn_all	nominalization	None	None	None	None	None	None	None
19	's	's	PART	POS	case	Emirate	18	None	None	None	None	None	None	None	None	None
20	.	.	PUNCT	.	punct	lives	14	None	None	None	None	None	None	None	None	None

[Sentence 3]
21	But	but	CCONJ	CC	cc	lives	24	None	None	None	None	None	None	None	None	None
22	my	my	PRON	PRP$	poss	father	23	pp_all	pp1	None	None	None	None	None	None	None
23	father	father	NOUN	NN	nsubj	lives	24	nn_all	None	None	None	None	None	None	nn_animate	None
24	lives	live	VERB	VBZ	ROOT	lives	24	verb	non_past_tense	None	None	None	None	None	existence_verb	None
25	in	in	ADP	IN	prep	lives	24	prep_phrase	None	None	None	None	None	None	None	None
26	united	united	ADJ	JJ	amod	states	27	None	jj_attributive	None	None	None	None	None	None	None
27	states	state	NOUN	NNS	pobj	in	25	nn_all	None	None	None	None	None	None	nn_abstract	None
28	of	of	ADP	IN	prep	states	27	prep_phrase	None	None	None	None	None	None	None	None
29	America	america	PROPN	NNP	pobj	of	28	nn_all	None	None	None	None	None	None	None	None
30	.	.	PUNCT	.	punct	lives	24	None	None	None	None	None	None	None	None	None

[Sentence 4]
31	He	he	PRON	PRP	nsubj	working	33	pp_all	pp3	None	None	None	None	None	None	None
32	is	be	AUX	VBZ	aux	working	33	None	None	None	None	None	None	None	None	None
33	working	work	VERB	VBG	ROOT	working	33	verb	None	None	None	None	None	None	activity_verb	None
34	in	in	ADP	IN	prep	working	33	prep_phrase	None	None	None	None	None	None	None	None
35	their	their	PRON	PRP$	pobj	in	34	pp_all	pp3	None	None	None	None	None	None	None
36	.	.	PUNCT	.	punct	working	33	None	None	None	None	None	None	None	None	None

[Sentence 5]
37	He	he	PRON	PRP	nsubj	works	38	pp_all	pp3	None	None	None	None	None	None	None
38	works	work	VERB	VBZ	ROOT	works	38	verb	non_past_tense	None	None	None	None	None	activity_verb	None
39	in	in	ADP	IN	prep	works	38	prep_phrase	None	None	None	None	None	None	None	None
40	a	a	DET	DT	det	company	42	None	None	None	None	None	None	None	None	None
41	big	big	ADJ	JJ	amod	company	42	None	jj_attributive	None	None	None	None	None	None	None
42	company	company	NOUN	NN	pobj	in	39	nn_all	None	None	None	None	None	None	nn_group	None
43	in	in	ADP	IN	prep	company	42	prep_phrase	None	None	None	None	None	None	None	None
44	the	the	DET	DT	det	states	46	None	None	None	None	None	None	None	None	None
45	united	united	ADJ	JJ	amod	states	46	None	jj_attributive	None	None	None	None	None	None	None
46	states	state	NOUN	NNS	pobj	in	43	nn_all	None	None	None	None	None	None	nn_abstract	None
47	of	of	ADP	IN	prep	states	46	prep_phrase	None	None	None	None	None	None	None	None
48	America	america	PROPN	NNP	pobj	of	47	nn_all	None	None	None	None	None	None	None	None
49	.	.	PUNCT	.	punct	works	38	None	None	None	None	None	None	None	None	None

[Sentence 6]
50	My	my	PRON	PRP$	poss	mother	51	pp_all	pp1	None	None	None	None	None	None	None
