

#sentence 0
0	I	i	PRON	PRP	nsubj	have	1	pp_all	pp1	None	None	None	None	None	None	None
1	have	have	VERB	VBP	ccomp	spend	26	verb	non_past_tense	None	None	None	None	None	None	None
2	an	an	DET	DT	det	eagle	3	None	None	None	None	None	None	None	None	None
3	eagle	eagle	NOUN	NN	dobj	have	1	nn_all	None	None	None	None	None	None	None	None
4	in	in	ADP	IN	prep	have	1	prep_phrase	None	None	None	None	None	None	None	None
5	my	my	PRON	PRP$	poss	country	6	pp_all	pp1	None	None	None	None	None	None	None
6	country	country	NOUN	NN	pobj	in	4	nn_all	None	None	None	None	None	None	nn_place	None
7	I	i	PRON	PRP	nsubj	give	8	pp_all	pp1	None	None	None	None	None	None	None
8	give	give	VERB	VBP	ccomp	spend	26	verb	non_past_tense	None	None	None	None	None	activity_verb	None
9	him	he	PRON	PRP	dative	give	8	pp_all	pp3	None	None	None	None	None	None	None
10	a	a	DET	DT	det	name	11	None	None	None	None	None	None	None	None	None
11	name	name	NOUN	NN	dobj	give	8	nn_all	None	None	None	None	None	None	nn_abstract	None
12	It	it	PRON	PRP	nsubj	's	13	pp_all	pp3_it	None	None	None	None	None	None	None
13	's	be	AUX	VBZ	ccomp	's	16	None	None	be_mv	None	contraction	None	None	None	None
14	fars	fars	PROPN	NNP	attr	's	13	nn_all	None	None	None	None	None	None	None	None
15	It	it	PRON	PRP	nsubj	's	16	pp_all	pp3_it	None	None	None	None	None	None	None
16	's	be	AUX	VBZ	ccomp	spend	26	None	None	be_mv	None	contraction	None	None	None	None
17	a	a	DET	DT	det	name	19	None	None	None	None	None	None	None	None	None
18	nice	nice	ADJ	JJ	amod	name	19	None	jj_attributive	None	None	None	None	None	None	None
19	name	name	NOUN	NN	attr	's	16	nn_all	None	None	None	None	None	None	nn_abstract	None
20	for	for	ADP	IN	prep	name	19	prep_phrase	None	None	None	None	None	None	None	None
21	the	the	DET	DT	det	eagle	22	None	None	None	None	None	None	None	None	None
22	eagle	eagle	NOUN	NN	pobj	for	20	nn_all	None	None	None	None	None	None	None	None
23	I	i	PRON	PRP	nsubj	spend	26	pp_all	pp1	None	None	None	None	None	None	None
24	am	be	AUX	VBP	dep	spend	26	None	None	be_mv	None	None	None	None	None	None
25	always	always	ADV	RB	advmod	spend	26	None	None	None	None	None	None	None	factive_adverb	None
26	spend	spend	VERB	VBP	ROOT	spend	26	verb	non_past_tense	None	None	None	None	None	activity_verb	None
27	my	my	PRON	PRP$	poss	time	28	pp_all	pp1	None	None	None	None	None	None	None
28	time	time	NOUN	NN	dobj	spend	26	nn_all	None	None	None	None	None	None	nn_quantity	None
29	with	with	ADP	IN	prep	spend	26	prep_phrase	None	None	None	None	None	None	None	None
30	my	my	PRON	PRP$	poss	eagle	31	pp_all	pp1	None	None	None	None	None	None	None
31	eagle	eagle	NOUN	NN	pobj	with	29	nn_all	None	None	None	None	None	None	None	None
32	every	every	DET	DT	det	morning	33	None	None	None	None	None	None	None	None	None
33	morning	morning	NOUN	NN	npadvmod	spend	26	nn_all	None	None	None	None	None	None	nn_quantity	None
34	when	when	SCONJ	WRB	advmod	get	36	None	None	None	None	None	None	None	None	None
35	I	i	PRON	PRP	nsubj	get	36	pp_all	pp1	None	None	None	None	None	None	None
36	get	get	VERB	VBP	advcl	spend	26	verb	non_past_tense	None	None	None	None	None	intransitive_activity_phrasal_verb	None
37	up	up	ADP	RP	prt	get	36	None	None	None	None	None	None	None	None	None
38	.	.	PUNCT	.	punct	spend	26	None	None	None	None	None	None	None	None	None

#sentence 1
39	I	i	PRON	PRP	nsubj	go	40	pp_all	pp1	None	None	None	None	None	None	None
