

#sentence 0
0	Keller	keller	PROPN	NNP	nsubj	experienced	2	nn_all	nominalization	None	None	None	None	None	None	None
1	has	have	AUX	VBZ	aux	experienced	2	None	None	None	None	None	None	None	None	None
2	experienced	experience	VERB	VBN	ROOT	experienced	2	verb	perfect_aspect	None	None	None	None	None	mental_verb	None
3	something	something	PRON	NN	dobj	experienced	2	None	pp_indefinite	None	None	None	None	None	None	None
4	memorable	memorable	ADJ	JJ	amod	something	3	None	jj_attributive	None	None	None	None	None	None	None
5	for	for	ADP	IN	prep	memorable	4	prep_phrase	None	None	None	None	None	None	None	None
6	her	she	PRON	PRP	pobj	for	5	pp_all	pp3	None	None	None	None	None	None	None
7	about	about	ADP	IN	prep	something	3	prep_phrase	None	None	None	None	None	None	None	None
8	her	her	PRON	PRP$	poss	learning	10	pp_all	pp3	None	None	None	None	None	None	None
9	language	language	NOUN	NN	compound	learning	10	nn_all	nominalization	None	None	None	None	None	nn_abstract	None
10	learning	learning	NOUN	NN	pobj	about	7	nn_all	nominalization	None	None	None	None	None	None	None
11	.	.	PUNCT	.	punct	experienced	2	None	None	None	None	None	None	None	None	None

#sentence 1
12	I	i	PRON	PRP	nsubj	say	14	pp_all	pp1	None	None	None	None	None	None	None
13	can	can	AUX	MD	aux	say	14	None	None	None	None	None	None	None	None	None
14	say	say	VERB	VB	ROOT	say	14	verb	non_past_tense	None	None	None	None	None	communication_verb	None
15	that	that	SCONJ	IN	mark	has	17	None	that_complement_clause	that_verb_clause	None	None	None	None	that_verb_clause_nonfactive	None
16	human	human	ADJ	JJ	nsubj	has	17	None	None	None	None	None	None	None	None	None
17	has	have	VERB	VBZ	ccomp	say	14	verb	non_past_tense	None	None	None	None	None	None	None
18	the	the	DET	DT	det	character	20	None	None	None	None	None	None	None	None	None
19	complete	complete	ADJ	JJ	amod	character	20	None	jj_attributive	None	None	None	None	None	None	None
20	character	character	NOUN	NN	dobj	has	17	nn_all	nominalization	None	None	None	None	None	None	None
21	of	of	ADP	IN	prep	character	20	prep_phrase	None	None	None	None	None	None	None	None
22	humanity	humanity	NOUN	NN	pobj	of	21	nn_all	nominalization	None	None	None	None	None	None	None
