

#sentence 0
0	As	as	SCONJ	IN	mark	sit	2	None	None	None	adverbial_subordinator_other	None	None	None	None	None
1	I	i	PRON	PRP	nsubj	sit	2	pp_all	pp1	None	None	None	None	None	None	None
2	sit	sit	VERB	VBP	advcl	replace	13	verb	non_past_tense	None	None	None	None	None	activity_verb	None
3	here	here	ADV	RB	advmod	sit	2	None	place_adverbials	None	None	None	None	None	None	None
4	facing	face	VERB	VBG	advcl	sit	2	verb	None	None	None	None	None	None	mental_verb	None
5	the	the	DET	DT	det	monitor	6	None	None	None	None	None	None	None	None	None
6	monitor	monitor	NOUN	NN	dobj	facing	4	nn_all	None	None	None	None	None	None	nn_animate	None
7	,	,	PUNCT	,	punct	replace	13	None	None	None	None	None	None	None	None	None
8	a	a	DET	DT	det	plethora	9	None	None	None	None	None	None	None	None	None
9	plethora	plethora	NOUN	NN	nsubj	replace	13	nn_all	None	None	None	None	None	None	None	None
10	of	of	ADP	IN	prep	plethora	9	prep_phrase	None	None	None	None	None	None	None	None
11	thoughts	thought	NOUN	NNS	pobj	of	10	nn_all	None	None	None	None	None	None	None	None
12	continuously	continuously	ADV	RB	advmod	replace	13	None	None	None	None	None	None	None	None	None
13	replace	replace	VERB	VBP	ROOT	replace	13	verb	non_past_tense	None	None	None	None	None	None	None
14	each	each	DET	DT	det	other	15	None	None	None	None	None	None	None	None	None
15	other	other	ADJ	JJ	dobj	replace	13	None	None	None	None	None	None	None	None	None
16	in	in	ADP	IN	prep	replace	13	prep_phrase	None	None	None	None	None	None	None	None
17	my	my	PRON	PRP$	poss	mind	18	pp_all	pp1	None	None	None	None	None	None	None
18	mind	mind	NOUN	NN	pobj	in	16	nn_all	None	None	None	None	None	None	None	None
19	.	.	PUNCT	.	punct	replace	13	None	None	None	None	None	None	None	None	None

#sentence 1
20	Highly	highly	ADV	RB	advmod	diverse	21	None	amplifiers_adverb	None	None	None	None	None	None	None
21	diverse	diverse	ADJ	JJ	amod	emotions	22	None	jj_attributive	None	None	None	None	None	None	None
22	emotions	emotion	NOUN	NNS	nsubj	fight	23	nn_all	nominalization	None	None	None	None	None	nn_cognitive	None
23	fight	fight	VERB	VBP	ROOT	fight	23	verb	non_past_tense	None	None	None	None	None	None	None
24	each	each	DET	DT	det	other	25	None	None	None	None	None	None	None	None	None
25	other	other	ADJ	JJ	dobj	fight	23	None	None	None	None	None	None	None	None	None
26	for	for	ADP	IN	prep	fight	23	prep_phrase	None	None	None	None	None	None	None	None
27	expression	expression	NOUN	NN	pobj	for	26	nn_all	None	None	None	None	None	None	nn_abstract	None
28	.	.	PUNCT	.	punct	fight	23	None	None	None	None	None	None	None	None	None

#sentence 2
29	So	so	SCONJ	IN	dep	am	32	None	None	None	None	None	None	None	None	None
30	here	here	ADV	RB	advmod	am	32	None	place_adverbials	None	None	None	None	None	None	None
31	I	i	PRON	PRP	nsubj	am	32	pp_all	pp1	None	None	None	None	None	None	None
32	am	be	AUX	VBP	ROOT	am	32	None	None	be_mv	None	None	None	None	None	None
33	,	,	PUNCT	,	punct	am	32	None	None	None	None	None	None	None	None	None
34	an	an	DET	DT	det	embodiment	35	None	None	None	None	None	None	None	None	None
35	embodiment	embodiment	NOUN	NN	npadvmod	am	32	nn_all	nominalization	None	None	None	None	None	None	None
36	of	of	ADP	IN	prep	embodiment	35	prep_phrase	None	None	None	None	None	None	None	None
37	chaotic	chaotic	ADJ	JJ	amod	emotions	38	None	jj_attributive	None	None	None	None	None	None	None
38	emotions	emotion	NOUN	NNS	pobj	of	36	nn_all	nominalization	None	None	None	None	None	nn_cognitive	None
39	.	.	PUNCT	.	punct	am	32	None	None	None	None	None	None	None	None	None

#sentence 3
40	Some	some	PRON	DT	nsubj	express	43	None	None	None	None	None	None	None	None	None
41	of	of	ADP	IN	prep	Some	40	prep_phrase	None	None	None	None	None	None	None	None
42	them	they	PRON	PRP	pobj	of	41	pp_all	pp3	None	None	None	None	None	None	None
43	express	express	VERB	VBP	ROOT	express	43	verb	non_past_tense	None	None	None	None	None	communication_verb	None
44	joy	joy	NOUN	NN	dobj	express	43	nn_all	None	None	None	None	None	None	None	None
45	,	,	PUNCT	,	punct	express	43	None	None	None	None	None	None	None	None	None
46	some	some	PRON	DT	nsubj	express	47	None	None	None	None	None	None	None	None	None
47	express	express	VERB	VBP	conj	express	43	verb	non_past_tense	None	None	None	None	None	communication_verb	None
48	sorrow	sorrow	NOUN	NN	dobj	express	47	nn_all	None	None	None	None	None	None	None	None
49	,	,	PUNCT	,	punct	express	47	None	None	None	None	None	None	None	None	None
50	some	some	PRON	DT	nsubj	express	51	None	None	None	None	None	None	None	None	None
51	express	express	VERB	VBP	conj	express	47	verb	non_past_tense	None	None	None	None	None	communication_verb	None
52	excitement	excitement	NOUN	NN	dobj	express	51	nn_all	nominalization	None	None	None	None	None	None	None
53	,	,	PUNCT	,	punct	express	51	None	None	None	None	None	None	None	None	None
54	some	some	PRON	DT	nsubj	express	55	None	None	None	None	None	None	None	None	None
55	express	express	VERB	VBP	conj	express	51	verb	non_past_tense	None	None	None	None	None	communication_verb	None
56	apprehension	apprehension	NOUN	NN	dobj	express	55	nn_all	None	None	None	None	None	None	None	None
57	,	,	PUNCT	,	punct	express	55	None	None	None	None	None	None	None	None	None
58	some	some	PRON	DT	nsubj	express	59	None	None	None	None	None	None	None	None	None
59	express	express	VERB	VBP	conj	express	55	verb	non_past_tense	None	None	None	None	None	communication_verb	None
60	determination	determination	NOUN	NN	dobj	express	59	nn_all	nominalization	None	None	None	None	None	None	None
61	,	,	PUNCT	,	punct	determination	60	None	None	None	None	None	None	None	None	None
62	etc	etc	X	FW	dobj	express	59	None	None	None	None	None	None	None	None	None
63	.	.	PUNCT	.	punct	express	59	None	None	None	None	None	None	None	None	None

#sentence 4
64	The	the	DET	DT	det	thought	66	None	None	None	None	None	None	None	None	None
65	first	first	ADJ	JJ	amod	thought	66	None	jj_attributive	None	None	None	None	None	None	None
66	thought	thought	NOUN	NN	nsubj	concerns	71	nn_all	None	None	None	None	None	None	None	None
67	that	that	PRON	WDT	nsubj	comes	68	None	that_relative_clause	None	None	None	None	None	None	None
68	comes	come	VERB	VBZ	relcl	thought	66	verb	non_past_tense	None	None	None	None	None	activity_verb	None
69	to	to	ADP	IN	prep	comes	68	prep_phrase	None	None	None	None	None	None	None	None
70	mind	mind	NOUN	NN	pobj	to	69	nn_all	None	None	None	None	None	None	None	None
71	concerns	concern	VERB	VBZ	ROOT	concerns	71	verb	non_past_tense	None	None	None	None	None	existence_verb	None
72	this	this	DET	DT	det	assignment	75	None	None	None	None	None	None	None	None	None
73	very	very	ADJ	JJ	amod	assignment	75	None	jj_attributive	None	None	None	None	None	None	None
74	writing	writing	NOUN	NN	compound	assignment	75	nn_all	nominalization	None	None	None	None	None	None	None
75	assignment	assignment	NOUN	NN	dobj	concerns	71	nn_all	nominalization	None	None	None	None	None	nn_abstract	None
76	-	-	PUNCT	:	punct	need	80	None	None	None	None	None	None	None	None	None
77	Why	why	SCONJ	WRB	advmod	need	80	None	None	None	None	None	None	None	None	None
78	do	do	AUX	VBP	aux	need	80	None	None	None	None	None	None	None	None	None
79	I	i	PRON	PRP	nsubj	need	80	pp_all	pp1	None	None	None	None	None	None	None
80	need	need	VERB	VB	acl	assignment	75	verb	non_past_tense	None	None	None	None	None	mental_verb	None
81	to	to	PART	TO	aux	do	82	None	None	None	None	None	None	None	None	None
82	do	do	VERB	VB	xcomp	need	80	verb	non_past_tense	None	None	to_clause	to_clause_verb	None	None	to_clause_verb_desire
83	it	it	PRON	PRP	dobj	do	82	pp_all	pp3_it	None	None	None	None	None	None	None
84	?	?	PUNCT	.	punct	need	80	None	None	None	None	None	None	None	None	None

#sentence 5
85	That	that	DET	DT	det	thought	87	None	None	None	None	None	None	None	None	None
86	very	very	ADJ	JJ	amod	thought	87	None	jj_attributive	None	None	None	None	None	None	None
87	thought	thought	NOUN	NN	nsubjpass	replaced	89	nn_all	None	None	None	None	None	None	None	None
88	is	be	AUX	VBZ	auxpass	replaced	89	None	None	None	None	None	None	None	None	None
89	replaced	replace	VERB	VBN	ROOT	replaced	89	verb	None	None	by_passive	None	None	None	None	None
90	by	by	ADP	IN	agent	replaced	89	None	None	None	None	None	None	None	None	None
91	one	one	NUM	CD	pobj	by	90	None	pp_indefinite	None	None	None	None	None	None	None
92	which	which	PRON	WDT	nsubj	says	93	wh_relative_clause	wh_relative_subj_clause	None	None	None	None	None	None	None
93	says	say	VERB	VBZ	relcl	one	91	verb	non_past_tense	None	None	None	None	None	communication_verb	None
94	that	that	SCONJ	IN	mark	is	96	None	that_complement_clause	that_verb_clause	None	None	None	None	that_verb_clause_nonfactive	None
95	there	there	PRON	EX	expl	is	96	None	None	None	None	None	None	None	None	None
96	is	be	VERB	VBZ	ccomp	says	93	verb	non_past_tense	be_mv	None	None	None	None	None	None
97	a	a	DET	DT	det	purpose	98	None	None	None	None	None	None	None	None	None
98	purpose	purpose	NOUN	NN	attr	is	96	nn_all	None	None	None	None	None	None	None	None
99	for	for	ADP	IN	prep	purpose	98	prep_phrase	None	None	None	None	None	None	None	None
100	everything	everything	PRON	NN	pobj	for	99	None	pp_indefinite	None	None	None	None	None	None	None
101	.	.	PUNCT	.	punct	replaced	89	None	None	None	None	None	None	None	None	None

#sentence 6
102	Of	of	ADV	RB	advmod	course	103	None	None	None	None	None	None	None	None	None
103	course	course	ADV	RB	advmod	is	107	None	None	None	None	None	None	None	None	None
104	,	,	PUNCT	,	punct	is	107	None	None	None	None	None	None	None	None	None
105	no	no	DET	DT	det	answer	106	None	None	None	None	None	None	None	None	None
106	answer	answer	NOUN	NN	nsubj	is	107	nn_all	None	None	None	None	None	None	nn_abstract	None
107	is	be	AUX	VBZ	ROOT	is	107	None	None	be_mv	None	None	None	None	None	None
108	good	good	ADJ	JJ	acomp	is	107	None	jj_predicative	None	None	None	None	None	None	None
109	enough	enough	ADV	RB	advmod	good	108	None	downtoners_adverb	None	None	None	None	None	None	None
110	for	for	ADP	IN	prep	good	108	prep_phrase	None	None	None	None	None	None	None	None
111	a	a	DET	DT	det	brain	113	None	None	None	None	None	None	None	None	None
112	questioning	question	VERB	VBG	amod	brain	113	verb	jj_attributive	None	None	None	None	None	communication_verb	None
113	brain	brain	NOUN	NN	pobj	for	110	nn_all	None	None	None	None	None	None	nn_concrete	None
114	,	,	PUNCT	,	punct	is	107	None	None	None	None	None	None	None	None	None
115	and	and	CCONJ	CC	cc	is	107	None	None	None	None	None	None	None	None	None
116	as	as	ADP	IN	prep	continues	126	prep_phrase	None	None	None	None	None	None	None	None
117	a	a	DET	DT	det	result	118	None	None	None	None	None	None	None	None	None
118	result	result	NOUN	NN	pobj	as	116	nn_all	None	None	None	None	None	None	None	None
119	,	,	PUNCT	,	punct	continues	126	None	None	None	None	None	None	None	None	None
120	this	this	DET	DT	det	series	121	None	None	None	None	None	None	None	None	None
121	series	series	NOUN	NN	nsubj	continues	126	nn_all	None	None	None	None	None	None	nn_abstract	None
122	of	of	ADP	IN	prep	series	121	prep_phrase	None	None	None	None	None	None	None	None
123	questions	question	NOUN	NNS	pobj	of	122	nn_all	None	None	None	None	None	None	nn_abstract	None
124	and	and	CCONJ	CC	cc	questions	123	None	cc_phrase	None	None	None	None	None	None	None
125	answers	answer	NOUN	NNS	conj	questions	123	nn_all	None	None	None	None	None	None	nn_abstract	None
126	continues	continue	VERB	VBZ	conj	is	107	verb	non_past_tense	None	None	None	None	None	aspectual_verb	None
127	until	until	SCONJ	IN	mark	creeps	135	None	None	None	adverbial_subordinator_other	None	None	None	None	None
128	a	a	DET	DT	det	emotion	130	None	None	None	None	None	None	None	None	None
129	third	third	ADJ	JJ	amod	emotion	130	None	jj_attributive	None	None	None	None	None	None	None
130	emotion	emotion	NOUN	NN	nsubj	creeps	135	nn_all	nominalization	None	None	None	None	None	nn_cognitive	None
131	,	,	PUNCT	,	punct	emotion	130	None	None	None	None	None	None	None	None	None
132	namely	namely	ADV	RB	advmod	frustration	134	None	conjuncts_adverb	None	None	None	None	None	None	None
133	,	,	PUNCT	,	punct	frustration	134	None	None	None	None	None	None	None	None	None
